		Freq	Parse-Seg	Parse-Syllable	FtBin	NonFinality	NonFinality-Foot	NonInitiality-Ft	WSP	Trochee	Iamb	All-Ft-L	All-Ft-R	Leftmost	Rightmost	Align-wd-L	Align-wd-R	Rh-Contour	Ident-Prom
		Freq	Parse-Seg	Parse-Syllable	FtBin	NonFinality	NonFinality-Foot	NonInitiality-Ft	WSP	Trochee	Iamb	All-Ft-L	All-Ft-R	Leftmost	Rightmost	Align-wd-L	Align-wd-R	Rh-Contour	Ident-Prom
	[L1 L V:C] \-> (L1) L V:C			2				1	1				2		2		1		1
	[L L1 V:C] \-> (L L1) V:C			1				1	1	1			1		1		1	1	
	[L L1 V:C] \-> L (L1 V:C)			1			1		1		1	1		1		1			
	[L L1 V:C] \-> L (L1 V:)C	1	1	1					1		1	1		1		1	1		
	[L L1 V:C] \-> L (L1) V:C			2	1				1			1	1	1	1	1	1		
	[L L V:1C] \-> L (L V:1C)			1		1	1			1		1		1		1			1
	[L L V:1C] \-> L (L V:1)C		1	1		1				1		1		1		1	1		1
	[L L V:1C] \-> L L (V:1C)			2		1	1					2		2		1			1
	[L L V:1C] \-> L L (V:1)C		1	2		1						2		2		1	1		1
/L L V:1C/	[L1 L V:C] \-> (L1 L) V:C			1				1	1		1		1		1		1		1
	[L1 L V:C] \-> (L1) L V:C			2				1	1				2		2		1		1
	[L L1 V:C] \-> (L L1) V:C			1				1	1	1			1		1		1	1	1
	[L L1 V:C] \-> L (L1 V:C)			1			1		1		1	1		1		1			1
	[L L1 V:C] \-> L (L1 V:)C		1	1					1		1	1		1		1	1		1
	[L L1 V:C] \-> L (L1) V:C			2	1				1			1	1	1	1	1	1		1
	[L L V:1C] \-> L (L V:1C)			1		1	1			1		1		1		1			
	[L L V:1C] \-> L (L V:1)C		1	1		1				1		1		1		1	1		
	[L L V:1C] \-> L L (V:1C)			2		1	1					2		2		1			
	[L L V:1C] \-> L L (V:1)C	1	1	2		1						2		2		1	1		
/L1 H V/	[L1 H V] \-> (L1 H) V	1		1				1	1		1		1		1		1		
	[L1 H V] \-> (L1) H V			2	1			1	1				2		2		1		
	[L H1 V] \-> (L H1) V			1				1		1			1		1		1		1
	[L H1 V] \-> L (H1 V)			1			1				1	1		1		1		1	1
	[L H1 V] \-> L (H1) V			2								1	1	1	1	1	1		1
	[L H V1] \-> L (H V1)			1		1	1		1	1		1		1		1			1
	[L H V1] \-> L H (V1)			2	1	1	1		1			2		2		1			1
/L H1 V/	[L1 H V] \-> (L1 H) V			1				1	1		1		1		1		1		1
	[L1 H V] \-> (L1) H V			2	1			1	1				2		2		1		1
	[L H1 V] \-> (L H1) V			1				1		1			1		1		1		
	[L H1 V] \-> L (H1 V)	1		1			1				1	1		1		1		1	
	[L H1 V] \-> L (H1) V			2								1	1	1	1	1	1		
	[L H V1] \-> L (H V1)			1		1	1		1	1		1		1		1			1
	[L H V1] \-> L H (V1)			2	1	1	1		1			2		2		1			1
/L H V1/	[L1 H V] \-> (L1 H) V			1				1	1		1		1		1		1		1
	[L1 H V] \-> (L1) H V			2	1			1	1				2		2		1		1
	[L H1 V] \-> (L H1) V			1				1		1			1		1		1		1
	[L H1 V] \-> L (H1 V)			1			1				1	1		1		1		1	1
	[L H1 V] \-> L (H1) V			2								1	1	1	1	1	1		1
	[L H V1] \-> L (H V1)	1		1		1	1		1	1		1		1		1			
	[L H V1] \-> L H (V1)			2	1	1	1		1			2		2		1			
/L1 H V:/	[L1 H V:] \-> (L1 H) V:	1		1				1	2		1		1		1		1		
	[L1 H V:] \-> (L1) H V:			2	1			1	2				2		2		1		
